raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,symbol,direction,market_type,completeness,confidence,parser_used,parser_mode,status,entry_plan_type,entry_structure,has_averaging_plan,entry_count,entries_summary,stop_loss_price,tp_prices,tp_count,signal_id,target_refs,target_refs_count,linking_strategy,notes_summary,links_count,hashtags_count,validation_warning_count,diagnostics_summary
1746,PARSED,,"[trader#С]

$BTCUSDT - SHORT 

Вход с текущих (88000-87900) 

Stop 88450.  1% деп

Tейк-профит:
1) 87100 (RR - 1:2)

2) 86500 (RR - 1:3)

3) 86000",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=87100 | 86500 | 86000),BTCUSDT,SHORT,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:88000 | RANGE_HIGH:LIMIT:87900,88450,87100 | 86500 | 86000,3,1746,,0,,,0,0,0,
1740,PARSED,,"[trader#С]

$BTCUSDT - SHORT 

Вход лимиткой 

1)88650(1/3)
2)89100(2/3)

Stop 89450.  1% деп

Tейк-профит 

1)87500(RR - 1:2)

 2)86800(RR - 1:3)

 3)85800",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=87500 | 86800 | 85800),BTCUSDT,SHORT,,,0.88,,,,MULTI,LADDER,True,2,ENTRY:UNKNOWN:88650 | ENTRY:UNKNOWN:89100,89450,87500 | 86800 | 85800,3,1740,,0,,,0,0,0,
1729,PARSED,,"[trader#С]

$LDOUSDT - LONG 

Вход лимиткой 

1)0,519(1/3)
2)0,508(2/3)

Stop 0,498.  1% деп

Tейк-профит 

1)0,539(RR1-1)

 2)0,56(RR1-2)

 3)0,582(RR1-3)",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=0.539 | 0.56 | 0.582),LDOUSDT,LONG,,,0.88,,,,MULTI,LADDER,True,2,ENTRY:UNKNOWN:0.519 | ENTRY:UNKNOWN:0.508,0.498,0.539 | 0.56 | 0.582,3,1729,,0,,,0,0,0,
1728,PARSED,,"[trader#С]

$CFXUSDT - LONG 

Вход лимиткой 

1)0,0675(1/3)
2)0,066(2/3)

Stop 0,065.  1% деп

Tейк-профит 

1)0,0698(RR1-1)

 2)0,0072(RR1-2)

 3)0,075(RR1-3)",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=0.0698 | 0.0072 | 0.075),CFXUSDT,LONG,,,0.88,,,,MULTI,LADDER,True,2,ENTRY:UNKNOWN:0.0675 | ENTRY:UNKNOWN:0.066,0.065,0.0698 | 0.0072 | 0.075,3,1728,,0,,,0,0,0,
1718,PARSED,,"[trader#С]

$BTCUSDT - LONG 

Вход лимиткой 

1)87650(1/3)
2)87150(2/3)

Stop 86700.  1% деп

Tейк-профит 

1)88300(RR1-2)

 2)89000(RR1-3)

 3)90500",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=88300 | 89000 | 90500),BTCUSDT,LONG,,,0.88,,,,MULTI,LADDER,True,2,ENTRY:UNKNOWN:87650 | ENTRY:UNKNOWN:87150,86700,88300 | 89000 | 90500,3,1718,,0,,,0,0,0,
1717,PARSED,," [trader#С]

$BTCUSDT - LONG

Вход с текущих (88000 +-100)

Stop 87700.  1%деп

Tейк-профит 

1) 88600(RR1-2)

 2)88950 (RR1-3)

 3)89555-90",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=88600 | 88950 | 89555),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:1 | RANGE_HIGH:LIMIT:2,87700,88600 | 88950 | 89555,3,1717,,0,,,0,0,0,
1699,PARSED,,"[trader#С]

$SNXUSDT - LONG 

Вход лимиткой 

1)0,4(1/3)
2)0,393(2/3)

Stop 0,381.  1% деп

Tейк-профит 

1)0,419(RR1-1)

 2)0,435(RR1-2)

 3)0,45+(RR1-3)",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=0.419 | 0.435 | 0.45),SNXUSDT,LONG,,,0.88,,,,MULTI,LADDER,True,2,ENTRY:UNKNOWN:0.4 | ENTRY:UNKNOWN:0.393,0.381,0.419 | 0.435 | 0.45,3,1699,,0,,,0,0,0,
1698,PARSED,,"[trader#С]

$CFXUSDT - LONG 

Вход лимиткой 

1)0,0677(1/3)
2)0,0662(2/3)

Stop 0,065.  1% деп

Tейк-профит 

1)0,071(RR1-1)

 2)0,075(RR1-2)

 3)0,078(RR1-3)",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=0.071 | 0.075 | 0.078),CFXUSDT,LONG,,,0.88,,,,MULTI,LADDER,True,2,ENTRY:UNKNOWN:0.0677 | ENTRY:UNKNOWN:0.0662,0.065,0.071 | 0.075 | 0.078,3,1698,,0,,,0,0,0,
1678,PARSED,,"[trader#С]

$BTCUSDT - LONG

Вход с текущих (88000-88100)

Stop 87800.  1%деп

Tейк-профит 

1) 88500(RR1-2)

 2)88850(RR1-3)

 3)89500",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=88500 | 88850 | 89500),BTCUSDT,LONG,,,0.88,,,,SINGLE,RANGE,False,2,RANGE_LOW:LIMIT:88000 | RANGE_HIGH:LIMIT:88100,87800,88500 | 88850 | 89500,3,1678,,0,,,0,0,0,
1670,PARSED,,"[trader#С]

$BTCUSDT - LONG 

Вход лимиткой 

1)86710(1/3)
2)85950(2/3)

Stop 85600.  1% деп

Tейк-профит 

1)87709(RR1-1)

 2)88800(RR1-2)

 3)90600",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=87709 | 88800 | 90600),BTCUSDT,LONG,,,0.88,,,,MULTI,LADDER,True,2,ENTRY:UNKNOWN:86710 | ENTRY:UNKNOWN:85950,85600,87709 | 88800 | 90600,3,1670,,0,,,0,0,0,
