raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,signal_id,target_refs_count,links_count,hashtags_count,validation_warning_count,diagnostics_summary,notes_summary
1624,PARSED,,"[trader#С]

$ETHUSDT - LONG в сущ позиции!

https://t.me/c/3171748254/1217

Вход с текущих (2940-2935)добавляем объем тот что остался в существующей позиции( к примеру было 0,1 эфира должно стать 0,2)в два раза и добавляем 
промежуточный ТП

Stop в бу 2925

Tейк-профит 

1)2965

2)2990",,,,,,,1217,1,0,0,0,,
1492,PARSED,1440,"На байбит не закрыло,)

[trader #C]",,,,,,,1440,1,0,0,0,,
1424,PARSED,1526,"Тр 3🥳

[trader #C]",,,,,,,1526,1,0,0,0,,
1307,PARSED,,"https://t.me/c/3171748254/1683


Тр1🥳


[trader#C]",,,,,,,1683,1,0,0,0,,
1120,PARSED,,"https://t.me/c/3171748254/1982

Ушли в бу 


[trader #C]",,,,,,,1982,1,0,0,0,,
807,PARSED,,"https://t.me/c/3171748254/2452
 С профитом 🥳🥳🥳 + RR 0,45

[trader #C]. 
остаток в позе 0,375
Тп далее по сэтапу, будет дополнения",,,,,,,2452,1,0,0,0,,
791,PARSED,,"https://t.me/c/3171748254/2471
Остаток в бу закрыт 

[trader #C]",,,,,,,2471,1,0,0,0,,
730,PARSED,,"https://t.me/c/3171748254/2451

Средняя 80.92

Доп тп на 85.4

[trader #C]",,,,,,,2451,1,0,0,0,,
670,PARSED,,"На руках solusdt 

Лимиток не каких нет актуальных

[trader #C]",,,,,,,,0,0,0,0,,
367,PARSED,3049,"Стоп короче!!! Изменено 

[trader #C]",,,,,,,3049,1,0,0,0,,
345,PARSED,3077,"Закрыл в микро + по 70200

[trader #C]",,,,,,,3077,1,0,0,0,,
301,PARSED,,"https://t.me/c/3171748254/3143

Закрыл у твх 1,524

[trader #C]",,,,,,,3143,1,0,0,0,,
262,PARSED,3192,"Позиция закрыта 

[trader #C]",,,,,,,3192,1,0,0,0,,
184,PARSED,3294,"Стоп 

[trader #C]",,,,,,,3294,1,0,0,0,,
179,PARSED,3306,"Так как Лонг закрыт в бу то оставляем тп без изменений 

[trader #C]",,,,,,,3306,1,0,0,0,,
156,PARSED,3325,"С профитом 🥳 Tp после доливки

[trader #C]",,,,,,,3325,1,0,0,0,,
111,PARSED,3384,"Тп🥳
[trаdеr #C]",,,,,,,3384,1,0,0,0,,
104,PARSED,3395,"Закрыл у твх

[ trader #C ]",,,,,,,3395,1,0,0,0,,
66,PARSED,3441,"Стоп ETHUSDT 

[trader #C]",,,,,,,3441,1,0,0,0,,
62,PARSED,3445,"Закрыл лишнее объем по 69100(0,3)
Микро- 
BTCUSDT 

[trader #C]",,,,,,,3445,1,0,0,0,,
54,PARSED,3445,"Стоп BTCUSDT LONG 

[ trader #C]",,,,,,,3445,1,0,0,0,,
49,PARSED,3464,"Btcusdt long

Закрыл у твх слабо 

[trader #C]",,,,,,,3464,1,0,0,0,,
