raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,symbol,direction,market_type,completeness,confidence,parser_used,parser_mode,status,entry_plan_type,entry_structure,has_averaging_plan,entry_count,entries_summary,stop_loss_price,tp_prices,tp_count,signal_id,target_refs,target_refs_count,linking_strategy,notes_summary,links_count,hashtags_count,validation_warning_count,diagnostics_summary
1516,PARSED,,"[trader#d]

Storjusdt SHORT вход с текущих

рыночный— риск 0.5% депо


Стоп 0.16134


Тейки 
• TP1: 0.1445
TP2; 0,138",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.1445 | 0.138),STORJUSDT,SHORT,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,0.16134,0.1445 | 0.138,2,1516,,0,,,0,0,0,
1494,PARSED,,"[trader#d]

Brev SHORT вход с текущих

рыночный— риск 0.5% депо


Стоп 0.5358


Тейки 
• TP1: 0.4283
• TP2:0.3485",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.4283 | 0.3485),BREVUSDT,SHORT,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,0.5358,0.4283 | 0.3485,2,1494,,0,,,0,0,0,
1490,PARSED,,"[trader#d]

Btc Long  вход с текущих

рыночный— риск 0.5% депо


Стоп 90939


Тейки 
• TP1: 92265
• TP2:93704",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=92265 | 93704),BTCUSDT,LONG,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,90939,92265 | 93704,2,1490,,0,,,0,0,0,
1477,PARSED,,"Trader#d
Btc long
рыночный
стоп 89586
тп1 91332
тп2 94371",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=91332 | 94371),BTCUSDT,LONG,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,89586,91332 | 94371,2,1477,,0,,,0,0,0,
1469,PARSED,,"[trader#d]

Iotx SHORT вход с текущих

рыночный— риск 0.5% депо


Стоп 0.009023


Тейки 
• TP1: 0.008629
• TP2: 0.008498",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.008629 | 0.008498),IOTXUSDT,SHORT,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,0.009023,0.008629 | 0.008498,2,1469,,0,,,0,0,0,
1464,PARSED,,"[trader#d]

GUNUSDT SHORT вход с текущих

рыночный— риск 0.5% депо


Стоп 0.027288


Тейки 
• TP1: 0.024756
• TP2: 0.021756",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.024756 | 0.021756),GUNUSDT,SHORT,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,0.027288,0.024756 | 0.021756,2,1464,,0,,,0,0,0,
1461,PARSED,1481,"Trader#d
GUNUSDT SHORT вход с текущих

рыночный— риск 0.5% депо


Стоп 0.027848


Тейки 
• TP1: 0.0245
• TP2: 0.021758",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.0245 | 0.021758),GUNUSDT,SHORT,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,0.027848,0.0245 | 0.021758,2,1461,1481,1,,,0,0,0,
1460,PARSED,,"[trader#d]

GMT SHORT вход с текущих

рыночный— риск 0.5% депо


Стоп 0.020705


Тейки 
• TP1: 0.018264
• TP2:0.017349",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.018264 | 0.017349),GMTUSDT,SHORT,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,0.020705,0.018264 | 0.017349,2,1460,,0,,,0,0,0,
1428,PARSED,,"[trader#d]

ALCH SHORT вход с текущих

рыночный— риск 0.5% депо


Стоп 0.14893


Тейки 
• TP1: 0.13983
• TP2: 0.12775",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=SHORT; take_profits=0.13983 | 0.12775),ALCHUSDT,SHORT,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,0.14893,0.13983 | 0.12775,2,1428,,0,,,0,0,0,
1423,PARSED,,"[trader#d]

BTC Long вход с текущих

рыночный— риск 0.5% депо


Стоп 90071


Тейки 
• TP1: 92488
• TP2: 94763",,,NS_CREATE_SIGNAL,NS_CREATE_SIGNAL,CREATE_SIGNAL,CREATE_SIGNAL(side=LONG; take_profits=92488 | 94763),BTCUSDT,LONG,,,0.82,,,,SINGLE_MARKET,ONE_SHOT,False,1,ENTRY:MARKET,90071,92488 | 94763,2,1423,,0,,,0,0,0,
